season,model,feature,importance_rank,importance_value
2023,lr,away_qb_injury_flag,14,0.03109321379674611
2023,lr,surface_type,15,0.03008400703095263
2023,lr,home_field_advantage,16,0.026397910078560634
2023,lr,qb_pressure_advantage,17,0.022087995641758795
2023,lr,def_pressure_diff,18,0.020686389096323036
2023,lr,week,19,0.019428784907395684
2023,lr,turnover_margin_rolling,20,0.01891000877325002
2023,lr,passing_difficulty_index,21,0.01147039978038611
2023,lr,st_value_delta,22,0.010803109895836346
2023,lr,net_travel_disadvantage,23,0.00622710568380417
2023,lr,early_down_matchup,24,0.0
2023,lr,rush_epa_matchup,25,0.0
2023,lr,off_roster_value_delta,26,0.0
2023,lr,playoff_flag,27,0.0
2023,nn,elo_diff,1,0.006247907876968384
2023,nn,roster_talent_delta,2,0.005676567554473877
2023,nn,rest_advantage,3,0.004920393228530884
2023,nn,net_success_rate,4,0.003957688808441162
2023,nn,trench_dominance_metric,5,0.003068208694458008
2023,nn,early_down_matchup,6,0.0027048885822296143
2023,nn,away_qb_injury_flag,7,0.0021205544471740723
2023,nn,point_diff_advantage,8,0.0020938515663146973
2023,nn,home_field_advantage,9,0.001473754644393921
2023,nn,pass_epa_matchup,10,0.0012324750423431396
2023,nn,rush_epa_matchup,11,0.0009216368198394775
2023,nn,qb_resilience_delta,12,0.0005089342594146729
2023,nn,elo_confidence,13,0.0003349781036376953
2023,nn,passing_difficulty_index,14,5.5730342864990234e-06
2023,nn,surface_type,15,5.066394805908203e-06
2023,nn,playoff_flag,16,0.0
2023,nn,turnover_margin_rolling,17,-0.00023230910301208496
2023,nn,week,18,-0.000550687313079834
2023,nn,off_roster_value_delta,19,-0.0005843639373779297
2023,nn,def_roster_value_delta,20,-0.0007686018943786621
2023,nn,home_qb_injury_flag,21,-0.0009282529354095459
2023,nn,st_value_delta,22,-0.0017399191856384277
2023,nn,qb_pressure_advantage,23,-0.0018445849418640137
2023,nn,market_implied_team_total,24,-0.0018756091594696045
2023,nn,net_travel_disadvantage,25,-0.0023921728134155273
2023,nn,def_pressure_diff,26,-0.002430170774459839
2023,nn,div_game_flag,27,-0.003307849168777466
2024,xgb,elo_diff,1,0.18342885375022888
2024,xgb,point_diff_advantage,2,0.11050841957330704
2024,xgb,roster_talent_delta,3,0.08720710128545761
2024,xgb,elo_confidence,4,0.04518584907054901
2024,xgb,home_qb_injury_flag,5,0.04427441582083702
2024,xgb,net_success_rate,6,0.04253799095749855
2024,xgb,pass_epa_matchup,7,0.03911617025732994
2024,xgb,qb_resilience_delta,8,0.03527916222810745
2024,xgb,trench_dominance_metric,9,0.03486214205622673
2024,xgb,qb_pressure_advantage,10,0.03351819887757301
2024,xgb,early_down_matchup,11,0.03331524133682251
2024,xgb,turnover_margin_rolling,12,0.03294706344604492
2024,xgb,def_roster_value_delta,13,0.031794968992471695
2024,xgb,net_travel_disadvantage,14,0.02996407262980938
2024,xgb,off_roster_value_delta,15,0.029487624764442444
2024,xgb,market_implied_team_total,16,0.029248466715216637
2024,xgb,surface_type,17,0.025990916416049004
2024,xgb,rush_epa_matchup,18,0.025394119322299957
2024,xgb,week,19,0.024769455194473267
2024,xgb,st_value_delta,20,0.022983556613326073
2024,xgb,div_game_flag,21,0.02251606434583664
2024,xgb,rest_advantage,22,0.02093064971268177
2024,xgb,passing_difficulty_index,23,0.014739545993506908
2024,xgb,away_qb_injury_flag,24,0.0
2024,xgb,def_pressure_diff,25,0.0
2024,xgb,home_field_advantage,26,0.0
2024,xgb,playoff_flag,27,0.0
2024,lr,elo_diff,1,0.4051774087383001
2024,lr,home_qb_injury_flag,2,0.12170244757705048
2024,lr,point_diff_advantage,3,0.12120242597831772
2024,lr,trench_dominance_metric,4,0.1067143442901171
2024,lr,roster_talent_delta,5,0.09525764920629846
2024,lr,def_roster_value_delta,6,0.08243382967967157
2024,lr,net_success_rate,7,0.07757174893915537
2024,lr,pass_epa_matchup,8,0.07385932888956324
2024,lr,rest_advantage,9,0.05764898772150142
2024,lr,qb_resilience_delta,10,0.045359891659073684
2024,lr,div_game_flag,11,0.04481385692922612
2024,lr,elo_confidence,12,0.043682605629987874
2024,lr,market_implied_team_total,13,0.03732869896249657
2024,lr,home_field_advantage,14,0.03643981422168124
2024,lr,away_qb_injury_flag,15,0.033163293283707256
2024,lr,surface_type,16,0.03243863695796552
2024,lr,turnover_margin_rolling,17,0.02340805852377491
2024,lr,week,18,0.01320572216877646
2024,lr,passing_difficulty_index,19,0.01055034855486274
2024,lr,qb_pressure_advantage,20,0.010077715733915577
2024,lr,def_pressure_diff,21,0.008154734595744539
2024,lr,off_roster_value_delta,22,0.004647981627446273
2024,lr,early_down_matchup,23,0.004615736677288466
2024,lr,st_value_delta,24,0.002321681119711151
2024,lr,rush_epa_matchup,25,0.0
2024,lr,net_travel_disadvantage,26,0.0
2024,lr,playoff_flag,27,0.0
2024,nn,point_diff_advantage,1,0.007879793643951416
2024,nn,roster_talent_delta,2,0.0077877044677734375
2024,nn,elo_diff,3,0.006137490272521973
2024,nn,pass_epa_matchup,4,0.002023458480834961
2024,nn,away_qb_injury_flag,5,0.001999080181121826
2024,nn,def_roster_value_delta,6,0.0015914440155029297
2024,nn,rest_advantage,7,0.0015427470207214355
2024,nn,home_field_advantage,8,0.0012302994728088379
2024,nn,div_game_flag,9,0.0010365545749664307
2024,nn,def_pressure_diff,10,0.0008222758769989014
2024,nn,passing_difficulty_index,11,0.0007215142250061035
2024,nn,home_qb_injury_flag,12,0.0007006525993347168
2024,nn,market_implied_team_total,13,0.0006892383098602295
2024,nn,st_value_delta,14,0.0006078183650970459
2024,nn,off_roster_value_delta,15,0.00021383166313171387
2024,nn,rush_epa_matchup,16,8.603930473327637e-05
2024,nn,playoff_flag,17,0.0
2024,nn,net_success_rate,18,-2.1219253540039062e-05
2024,nn,early_down_matchup,19,-9.40561294555664e-05
2024,nn,qb_resilience_delta,20,-0.00012004375457763672
2024,nn,elo_confidence,21,-0.000564277172088623
2024,nn,trench_dominance_metric,22,-0.0007568597793579102
2024,nn,net_travel_disadvantage,23,-0.0008494257926940918
2024,nn,qb_pressure_advantage,24,-0.0012896955013275146
2024,nn,turnover_margin_rolling,25,-0.0012917816638946533
2024,nn,surface_type,26,-0.0015435516834259033
2024,nn,week,27,-0.001837700605392456
2025,xgb,elo_diff,1,0.1609000414609909
2025,xgb,point_diff_advantage,2,0.0956040471792221
2025,xgb,roster_talent_delta,3,0.08484341204166412
2025,xgb,elo_confidence,4,0.055874649435281754
2025,xgb,home_qb_injury_flag,5,0.03491351380944252
2025,xgb,net_success_rate,6,0.034863270819187164
2025,xgb,trench_dominance_metric,7,0.03459019213914871
2025,xgb,def_roster_value_delta,8,0.0333704799413681
2025,xgb,pass_epa_matchup,9,0.03266512602567673
2025,xgb,div_game_flag,10,0.031755439937114716
2025,xgb,early_down_matchup,11,0.030115852132439613
2025,xgb,qb_resilience_delta,12,0.029596934095025063
2025,xgb,turnover_margin_rolling,13,0.029529782012104988
2025,xgb,qb_pressure_advantage,14,0.028938276693224907
2025,xgb,week,15,0.02862718142569065
2025,xgb,rest_advantage,16,0.02861938253045082
2025,xgb,market_implied_team_total,17,0.02833140641450882
2025,xgb,off_roster_value_delta,18,0.02686030976474285
2025,xgb,st_value_delta,19,0.02647688426077366
2025,xgb,away_qb_injury_flag,20,0.025841662660241127
2025,xgb,rush_epa_matchup,21,0.025783197954297066
2025,xgb,surface_type,22,0.02408849075436592
2025,xgb,passing_difficulty_index,23,0.024042950943112373
2025,xgb,net_travel_disadvantage,24,0.02233125828206539
2025,xgb,def_pressure_diff,25,0.021436329931020737
2025,xgb,home_field_advantage,26,0.0
2025,xgb,playoff_flag,27,0.0
2025,lr,elo_diff,1,0.46184837159396797
2025,lr,home_qb_injury_flag,2,0.12418647972824516
2025,lr,point_diff_advantage,3,0.11502754152187653
2025,lr,trench_dominance_metric,4,0.10983411176040496
2025,lr,def_roster_value_delta,5,0.09557584368673973
2025,lr,pass_epa_matchup,6,0.08240246688766849
2025,lr,rest_advantage,7,0.07593261075160623
2025,lr,net_success_rate,8,0.06836049803468441
2025,lr,roster_talent_delta,9,0.06442542367418834
2025,lr,div_game_flag,10,0.06382604474244842
2025,lr,elo_confidence,11,0.048663007429650795
2025,lr,home_field_advantage,12,0.04687366827117041
2025,lr,market_implied_team_total,13,0.04666623861982728
2025,lr,surface_type,14,0.042072321200089274
2025,lr,away_qb_injury_flag,15,0.04009129772958069
2025,lr,qb_resilience_delta,16,0.035844472973704265
2025,lr,passing_difficulty_index,17,0.015493728742146978
2025,lr,turnover_margin_rolling,18,0.01409789659431508
2025,lr,net_travel_disadvantage,19,0.01339120038818415
2025,lr,week,20,0.00816088440514375
2025,lr,st_value_delta,21,0.00644787381811903
2025,lr,rush_epa_matchup,22,0.001937405335920954
2025,lr,early_down_matchup,23,0.0
2025,lr,off_roster_value_delta,24,0.0
2025,lr,def_pressure_diff,25,0.0
2025,lr,qb_pressure_advantage,26,0.0
2025,lr,playoff_flag,27,0.0
2025,nn,elo_diff,1,0.013111084699630737
2025,nn,point_diff_advantage,2,0.008662551641464233
2025,nn,trench_dominance_metric,3,0.0049273669719696045
2025,nn,elo_confidence,4,0.004908233880996704
2025,nn,early_down_matchup,5,0.0041405558586120605
2025,nn,pass_epa_matchup,6,0.0037550628185272217
2025,nn,roster_talent_delta,7,0.0036545097827911377
2025,nn,net_success_rate,8,0.0027889609336853027
2025,nn,div_game_flag,9,0.0025623440742492676
2025,nn,off_roster_value_delta,10,0.0017061829566955566
2025,nn,home_field_advantage,11,0.0010903477668762207
2025,nn,passing_difficulty_index,12,0.0010798871517181396
2025,nn,qb_resilience_delta,13,0.0006495118141174316
2025,nn,def_roster_value_delta,14,0.0004686713218688965
2025,nn,net_travel_disadvantage,15,0.0004590451717376709
2025,nn,turnover_margin_rolling,16,0.000373154878616333
2025,nn,def_pressure_diff,17,0.00017115473747253418
2025,nn,playoff_flag,18,0.0
2025,nn,rest_advantage,19,-0.00011852383613586426
2025,nn,rush_epa_matchup,20,-0.00013631582260131836
2025,nn,home_qb_injury_flag,21,-0.00015148520469665527
2025,nn,away_qb_injury_flag,22,-0.00020441412925720215
2025,nn,st_value_delta,23,-0.0002945065498352051
2025,nn,market_implied_team_total,24,-0.000503838062286377
2025,nn,surface_type,25,-0.0010526776313781738
2025,nn,week,26,-0.0011127591133117676
2025,nn,qb_pressure_advantage,27,-0.0023939013481140137
